expert,proposed,accepted,accept_rate
1,153184,151759,0.9907
2,2582,2149,0.8323
3,3150,2996,0.9511
4,7331,7210,0.9835
5,96305,84883,0.8814
6,24637,21277,0.8636
7,1495,1441,0.9639
total,288684,271715,0.11960745214095204
