a,b,gain_pearson_r
e1,e2,0.958
e1,e3,0.9762
e1,e4,0.9749
e1,e5,0.9857
e1,e6,0.9685
e1,e7,0.9548
e2,e3,0.9648
e2,e4,0.9657
e2,e5,0.9665
e2,e6,0.9431
e2,e7,0.9242
e3,e4,0.9813
e3,e5,0.983
e3,e6,0.9704
e3,e7,0.9572
e4,e5,0.9731
e4,e6,0.9578
e4,e7,0.9423
e5,e6,0.9776
e5,e7,0.964
e6,e7,0.9828
