bank,expert,block_rows,residual_regime_rows,identical_to_residual,selector_active
residual,1,51114,51114,True,False
residual,2,4498,4498,True,False
residual,3,1314,1314,True,False
residual,4,2130,2130,True,False
residual,5,491,491,True,False
residual,6,186000,1081643,True,True
residual,7,26039,26039,True,False
