expert,class,rows,mean_gain,frac_positive
1,backdoor,30130,0.25432373040513057,0.9996681048788583
1,benign,100000,-0.05662607229553969,0.07912
1,ddos,100000,0.05186526891155039,0.97345
1,dos,17072,-0.08237274979816357,0.7171977507029054
1,injection,50363,0.4162418705640322,0.9635843774199313
1,mitm,822,0.025863051088047432,0.46958637469586373
1,password,100000,0.07476253431267453,0.98419
1,ransomware,539,54.875830785741464,0.9758812615955473
1,scanning,4471,29.547798872787293,0.9885931558935361
1,xss,100000,0.04609869785128094,0.94464
2,backdoor,30130,0.11918480138633918,0.8332558911384003
2,benign,100000,-0.02967190720451208,0.38828
2,ddos,100000,0.033481668343186,0.64815
2,dos,17072,-0.07180686161250813,0.15182755388940955
2,injection,50363,0.3245107642818627,0.8832476222623752
2,mitm,822,0.8059197296224103,0.5523114355231143
2,password,100000,-0.028406614686579085,0.36262
2,ransomware,539,51.75596258607255,0.9591836734693877
2,scanning,4471,35.646484338717,0.9917244464325654
2,xss,100000,0.03908404830248243,0.95148
3,backdoor,30130,0.08369513548983948,0.46133421838698974
3,benign,100000,-0.04753110367768297,0.07873
3,ddos,100000,-0.006438208750016424,0.3091
3,dos,17072,0.22403865708235265,0.1541705716963449
3,injection,50363,0.10319676155682164,0.5937890911979032
3,mitm,822,-1.4020074665237274,0.21776155717761558
3,password,100000,-0.19914994432485952,0.03609
3,ransomware,539,44.594431217026354,0.9090909090909091
3,scanning,4471,28.319776486719253,0.9865801834041601
3,xss,100000,0.016248534141192764,0.53906
4,backdoor,30130,0.019395702452640495,0.4961168270826419
4,benign,100000,-0.07780309752337636,0.08184
4,ddos,100000,0.004512558461152926,0.64669
4,dos,17072,-0.028613939061742047,0.2733130271790066
4,injection,50363,0.42409429447374725,0.8578718503663404
4,mitm,822,-0.26314825182304474,0.3734793187347932
4,password,100000,-0.14316924676890408,0.24838
4,ransomware,539,40.93190450766698,0.8831168831168831
4,scanning,4471,29.66990541480388,0.9874748378438828
4,xss,100000,0.009971128335232917,0.69721
5,backdoor,30130,0.2560630806846159,0.9542648523066711
5,benign,100000,-0.024002662533534586,0.39543
5,ddos,100000,0.10055920622808462,0.98912
5,dos,17072,0.22483348149962104,0.9193416119962512
5,injection,50363,0.4002906502714957,0.9540337152274487
5,mitm,822,0.9746120223919363,0.6970802919708029
5,password,100000,0.051905952830842525,0.88898
5,ransomware,539,56.36441910800456,0.9814471243042672
5,scanning,4471,29.096459681222946,0.9874748378438828
5,xss,100000,0.05677814852941161,0.95315
6,backdoor,30130,0.2173451709287162,0.9542648523066711
6,benign,100000,-0.02231580250739459,0.19852
6,ddos,100000,0.0620244415584948,0.82318
6,dos,17072,-0.04770445278828251,0.09120196813495783
6,injection,50363,0.31275756668265786,0.9404324603379465
6,mitm,822,0.8129013455459764,0.6082725060827251
6,password,100000,0.08085651477601997,0.92861
6,ransomware,539,53.71123551519654,0.974025974025974
6,scanning,4471,28.719107013408145,0.9834488928651308
6,xss,100000,0.04558549662897653,0.95932
7,backdoor,30130,0.1876901037441077,0.953468304015931
7,benign,100000,-0.05377497636630765,0.08857
7,ddos,100000,0.04585548840299612,0.81416
7,dos,17072,-0.1462350106342754,0.19968369259606372
7,injection,50363,-0.2279487642216388,0.36274646069535177
7,mitm,822,1.273086131653086,0.8211678832116789
7,password,100000,-0.14543282830003798,0.12456
7,ransomware,539,53.383005186070605,0.9387755102040817
7,scanning,4471,27.283182334249883,0.9825542384254082
7,xss,100000,0.055703121437685986,0.4544
