class,rows,weight,mean_residual,clipped_rows
backdoor,30129,3.8742088318757366,0.2954698472215086,24
benign,504273,0.23147739694957353,0.040177344461045685,0
ddos,153412,0.7608753183812949,0.11801342073367072,0
dos,17071,6.837593357349969,0.7738330166508306,540
injection,50361,2.31779028727159,0.7031618293212938,413
mitm,821,142.13452054794521,14.410350298926467,64
password,159360,0.7324786137069941,0.13084101676229287,0
ransomware,537,217.0673640167364,104.20037216595071,447
scanning,4470,26.112180526816175,39.814185020659686,4349
xss,246841,0.4728873039730029,0.12212640682098236,0
