expert,threshold,objective,owned_accept_rate,mean_owned_class_accept_rate,min_owned_class_accept_rate,benign_accept_rate,non_owned_attack_accept_rate,owned_local_acc_given_accept,floor_shortfall,owned_support,benign_support,non_owned_attack_support
DoS_Like_Known,0.3045935332775116,-2.476210237817165,0.9998808175913235,0.999187337757321,0.9985429820301117,0.890844141510399,0.8028651510432887,0.9992649542086338,0.0,50343,371478,3211
DoS_Like_Known,0.4035142958164215,-2.3648868680607276,0.999860953856544,0.9989716345649138,0.998274374460742,0.8766064208378423,0.7340392401121146,0.9992848061029879,0.0,50343,371478,3211
DoS_Like_Known,0.5262705087661743,-2.278944654831471,0.9998410901217647,0.9987559313725065,0.997411561691113,0.8529737965639957,0.7187791965119901,0.999304658786133,0.0,50343,371478,3211
DoS_Like_Known,0.6657906174659729,-2.07412620540504,0.9998212263869852,0.9985286586452338,0.997411561691113,0.8290558256478177,0.5854873871068204,0.9993245122581158,0.0,50343,371478,3211
DoS_Like_Known,0.7674298882484436,-1.88141386445859,0.9997814989174264,0.9982959540874341,0.9972727272727273,0.8085485546923371,0.45406415446901277,0.9993244854168323,0.0,50343,371478,3211
DoS_Like_Known,0.929855465888977,-1.7687455646117927,0.9996424527739706,0.9973821372216282,0.9945454545454545,0.7903079051787724,0.3952039862971037,0.999324391455539,0.0,50343,371478,3211
DoS_Like_Known,1.303806185722351,-1.4613626558434538,0.9995034066305146,0.9958143672004499,0.99,0.7336235254846855,0.2563064465898474,0.9994037918836202,0.0,50343,371478,3211
DoS_Like_Known,1.3461308479309082,-1.4158264025854934,0.9995034066305146,0.9958143672004499,0.99,0.7202095413456517,0.25101214574898784,0.9994037918836202,0.0,50343,371478,3211
DoS_Like_Known,2.105586528778076,-0.7111301292312575,0.9990465407305882,0.994288681523688,0.9881818181818182,0.5335928372608876,0.10464029897228277,0.9996023461576697,0.0,50343,371478,3211
DoS_Like_Known,2.140216588973999,-0.6546757371740214,0.9988677671175734,0.9941238087153156,0.9881818181818182,0.5261388292173426,0.07038305823730925,0.9996420474883665,0.0,50343,371478,3211
DoS_Like_Known,2.5499303340911865,-0.4279756505676613,0.998410901217647,0.993207235818814,0.9863636363636363,0.45909044411782124,0.04391155403301152,0.9998408371963472,0.0,50343,371478,3211
DoS_Like_Known,2.842115640640259,-0.37469237939644556,0.9980136265220587,0.9922343746910238,0.9845454545454545,0.44235459435013647,0.03986297103706011,0.9998407738391417,0.0,50343,371478,3211
DoS_Like_Known,2.845862627029419,-0.37442058836462394,0.9979738990524999,0.9922235110299701,0.9845454545454545,0.442260376119178,0.03986297103706011,0.9998407675006469,0.0,50343,371478,3211
DoS_Like_Known,2.954474687576294,-0.3455731767301551,0.9977553979699263,0.9914996759682873,0.9836363636363636,0.4327147233483544,0.03892868265337901,0.9998606410511647,0.0,50343,371478,3211
DoS_Like_Known,3.0456786155700684,-0.30577468335566305,0.997497169417794,0.9903227332164093,0.9827272727272728,0.4212362508681537,0.032388663967611336,0.9998805185494952,0.0,50343,371478,3211
DoS_Like_Known,3.424560308456421,-0.24011014099847974,0.9970005760483086,0.9849668817451263,0.9690909090909091,0.4060751915322038,0.006851448146994706,0.9999003825310806,0.0,50343,371478,3211
DoS_Like_Known,3.669600486755371,-0.19866192921160705,0.9964841189440439,0.981953001043621,0.9672727272727273,0.3913583038564868,0.006540018685767673,0.9999003309014073,0.0,50343,371478,3211
DoS_Like_Known,3.7883594036102295,-0.1870964627213134,0.9949943388355879,0.9782874175121098,0.9590909090909091,0.38628128718255184,0.006540018685767673,0.9999001816693618,0.0,50343,371478,3211
DoS_Like_Known,4.040050506591797,-0.08931951890536347,0.9939216971574996,0.9726346265672099,0.9499568593615185,0.35173280786479955,0.006540018685767673,0.9999200591562244,4.314063848143146e-05,50343,371478,3211
DoS_Like_Known,4.099822044372559,-0.1156638968708684,0.9935244224619113,0.9693155096184897,0.9404659188955996,0.34358966076052955,0.006540018685767673,0.9999200271907551,0.00953408110440035,50343,371478,3211
DoS_Like_Known,4.29368782043457,-0.13351290702181465,0.9922928709055877,0.9646243426993145,0.9335634167385677,0.3199085813964757,0.006228589224540642,0.9999399459513563,0.026436583261432278,50343,371478,3211
DoS_Like_Known,4.383727550506592,-0.19658681278002363,0.9916572313926465,0.9592417469642331,0.9163071613459879,0.304421796176355,0.005917159763313609,0.9999599383049896,0.04732920229037563,50343,371478,3211
DoS_Like_Known,4.6454572677612305,0.2046991403624565,0.9900085414059552,0.9471365903618342,0.8826574633304572,0.09005647709958597,0.003737153534724385,0.9999598715890851,0.09370617303317907,50343,371478,3211
DoS_Like_Known,5.004904270172119,-0.36915584225389686,0.98510219891544,0.9104810994265649,0.8213977566867989,0.04230398570036449,0.0006228589224540642,0.9999596717278648,0.23042042513138283,50343,371478,3211
DoS_Like_Known,5.257248401641846,-0.9199072610982953,0.9804143575074986,0.8800558118444908,0.7727272727272727,0.03246760238829756,0.0006228589224540642,0.9999797394493183,0.3403874813710879,50343,371478,3211
DoS_Like_Known,5.27354097366333,-1.0716817958991751,0.9791232147468367,0.8726269732341072,0.7454545454545455,0.032252246431820994,0.0006228589224540642,0.9999797127322892,0.369385834183073,50343,371478,3211
DoS_Like_Known,5.491733074188232,-1.6854304265167772,0.9669467453270564,0.8379421508478012,0.6745454545454546,0.023686463262965776,0.0006228589224540642,1.0,0.4903380657306454,50343,371478,3211
DoS_Like_Known,5.6714887619018555,-2.716681015122087,0.9528236298988936,0.7817209616920208,0.5718181818181818,0.010633200351030209,0.0006228589224540642,1.0,0.6931759033677126,50343,371478,3211
DoS_Like_Known,5.741429328918457,-3.069491374474725,0.9499831158254375,0.7643990786594257,0.5336363636363637,0.00864923360198989,0.0006228589224540642,1.0,0.7614639786811455,50343,371478,3211
DoS_Like_Known,5.93801212310791,-4.821785105589172,0.9241006694078621,0.6761181783423363,0.30818181818181817,0.006651807105669784,0.0003114294612270321,1.0,1.0955272866306545,50343,371478,3211
