baseline_pred_class,count,rate
normal,620161,0.8825175959631033
dos-hulk,81892,0.11653607848382994
web-attack-xss,294,0.0004183755076716407
ssh-patator,140,0.0001992264322245908
ftp-patator,122,0.00017361160522428627
web-attack-brute-force,62,8.82288485566045e-05
dos-slowhttptest,20,2.8460918889227256e-05
dos-goldeneye,12,1.7076551333536354e-05
dos-slowloris,9,1.2807413500152267e-05
web-attack-sql-injection,4,5.692183777845452e-06
heartbleed,2,2.846091888922726e-06
