Expert,Epoch,Accuracy,F1_Score
0,1,0.0,0.0
1,1,1.0,1.0
2,1,0.0,0.0
3,1,0.0,0.0
0,5,0.0,0.0
1,5,1.0,1.0
2,5,0.05347774581147402,0.005429387205277363
3,5,0.0,0.0
0,10,0.0,0.0
1,10,1.0,1.0
2,10,0.05347774581147402,0.0057115226620788485
3,10,0.0,0.0
0,15,0.0,0.0
1,15,1.0,1.0
2,15,0.03342359113217126,0.0042973674286506435
3,15,0.0,0.0
0,20,0.0,0.0
1,20,1.0,1.0
2,20,0.05347774581147402,0.00543287821135695
3,20,0.0,0.0
0,25,0.0,0.0
1,25,1.0,1.0
2,25,0.0,0.0
3,25,0.0,0.0
0,30,0.0,0.0
1,30,1.0,1.0
2,30,0.05347774581147402,0.005429387205277363
3,30,0.0,0.0
0,35,0.0,0.0
1,35,1.0,1.0
2,35,0.05347774581147402,0.005429387205277363
3,35,0.0,0.0
0,40,0.0,0.0
1,40,1.0,1.0
2,40,0.05347774581147402,0.005429387205277363
3,40,0.0,0.0
0,45,0.0,0.0
1,45,1.0,1.0
2,45,0.05347774581147402,0.005429387205277363
3,45,0.0,0.0
0,50,0.0,0.0
1,50,1.0,1.0
2,50,0.05347774581147402,0.005429387205277363
3,50,0.0,0.0
0,55,0.0,0.0
1,55,1.0,1.0
2,55,0.0,0.0
3,55,0.0,0.0
0,60,0.0,0.0
1,60,1.0,1.0
2,60,0.0,0.0
3,60,0.0,0.0
0,65,0.0,0.0
1,65,1.0,1.0
2,65,0.0,0.0
3,65,0.0,0.0
0,70,0.0,0.0
1,70,1.0,1.0
2,70,0.0,0.0
3,70,0.0,0.0
0,75,0.0,0.0
1,75,1.0,1.0
2,75,0.0,0.0
3,75,0.0,0.0
0,80,0.0,0.0
1,80,1.0,1.0
2,80,0.0,0.0
3,80,0.0,0.0
0,85,0.0,0.0
1,85,1.0,1.0
2,85,0.0,0.0
3,85,0.0,0.0
0,90,0.0,0.0
1,90,1.0,1.0
2,90,0.0,0.0
3,90,0.0,0.0
0,95,0.0,0.0
1,95,1.0,1.0
2,95,0.0,0.0
3,95,0.0,0.0
0,100,0.0,0.0
1,100,1.0,1.0
2,100,0.0,0.0
3,100,0.0,0.0
