class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1,_footer
apple,100,0.29441624365482233,0.27860696517412936,0.58,0.56,0.39057239057239057,0.37209302325581395,-0.018479367316576623,
aquarium_fish,100,0.22040816326530613,0.22566371681415928,0.54,0.51,0.3130434782608696,0.3128834355828221,-0.0001600426780474784,
baby,100,0.11979166666666667,0.15894039735099338,0.23,0.24,0.15753424657534246,0.19123505976095617,0.033700813185613715,
bear,100,0.060810810810810814,0.05421686746987952,0.09,0.09,0.07258064516129033,0.06766917293233082,-0.004911472228959504,
beaver,100,0.08898305084745763,0.09178743961352658,0.21,0.19,0.125,0.1237785016286645,-0.0012214983713355054,
bed,100,0.16470588235294117,0.12849162011173185,0.28,0.23,0.2074074074074074,0.16487455197132617,-0.042532855436081235,
bee,100,0.19469026548672566,0.2222222222222222,0.22,0.3,0.20657276995305165,0.2553191489361702,0.04874637898311854,
beetle,100,0.18791946308724833,0.2116788321167883,0.28,0.29,0.2248995983935743,0.24472573839662448,0.01982614000305019,
bicycle,100,0.15625,0.19718309859154928,0.25,0.28,0.19230769230769232,0.23140495867768596,0.03909726636999364,
bottle,100,0.3333333333333333,0.3,0.3,0.3,0.3157894736842105,0.3,-0.01578947368421052,
bowl,100,0.13861386138613863,0.13,0.14,0.13,0.13930348258706468,0.13,-0.009303482587064676,
boy,100,0.10714285714285714,0.1774193548387097,0.09,0.11,0.09782608695652174,0.13580246913580246,0.03797638217928072,
bridge,100,0.16292134831460675,0.17341040462427745,0.29,0.3,0.20863309352517986,0.21978021978021978,0.011147126255039913,
bus,100,0.16312056737588654,0.15625,0.23,0.25,0.1908713692946058,0.19230769230769232,0.0014363230130865212,
butterfly,100,0.17391304347826086,0.19801980198019803,0.2,0.2,0.18604651162790697,0.19900497512437812,0.012958463496471145,
camel,100,0.072,0.10784313725490197,0.09,0.11,0.08,0.10891089108910891,0.02891089108910891,
can,100,0.2857142857142857,0.26136363636363635,0.26,0.23,0.27225130890052357,0.24468085106382978,-0.02757045783669379,
castle,100,0.1780821917808219,0.17549668874172186,0.52,0.53,0.2653061224489796,0.263681592039801,-0.0016245304091785928,
caterpillar,100,0.17647058823529413,0.19411764705882353,0.3,0.33,0.2222222222222222,0.24444444444444444,0.022222222222222227,
cattle,100,0.1,0.12871287128712872,0.1,0.13,0.1,0.12935323383084577,0.02935323383084576,
chair,100,0.3433734939759036,0.31794871794871793,0.57,0.62,0.42857142857142855,0.42033898305084744,-0.008232445520581111,
chimpanzee,100,0.18143459915611815,0.1814516129032258,0.43,0.45,0.2551928783382789,0.25862068965517243,0.0034278113168935143,
clock,100,0.17557251908396945,0.2127659574468085,0.23,0.3,0.19913419913419914,0.24896265560165975,0.04982845646746062,
cloud,100,0.27941176470588236,0.27884615384615385,0.57,0.58,0.375,0.37662337662337664,0.0016233766233766378,
cockroach,100,0.30927835051546393,0.32642487046632124,0.6,0.63,0.40816326530612246,0.4300341296928328,0.02187086438671032,
couch,100,0.15841584158415842,0.14814814814814814,0.16,0.12,0.15920398009950248,0.13259668508287292,-0.026607295016629562,
crab,100,0.1111111111111111,0.11504424778761062,0.12,0.13,0.11538461538461539,0.12206572769953052,0.006681112314915125,
crocodile,100,0.08598726114649681,0.08459214501510574,0.27,0.28,0.13043478260869565,0.12993039443155452,-0.0005043881771411296,
cup,100,0.3884297520661157,0.37606837606837606,0.47,0.44,0.4253393665158371,0.4055299539170507,-0.01980941259878638,
dinosaur,100,0.2268041237113402,0.2441860465116279,0.22,0.21,0.2233502538071066,0.22580645161290322,0.002456197805796617,
dolphin,100,0.16541353383458646,0.17794486215538846,0.66,0.71,0.26452905811623245,0.2845691382765531,0.02004008016032066,
elephant,100,0.08620689655172414,0.08928571428571429,0.2,0.2,0.12048192771084337,0.12345679012345678,0.0029748624126134104,
flatfish,100,0.1686746987951807,0.2,0.14,0.14,0.15300546448087432,0.16470588235294117,0.011700417872066854,
forest,100,0.13793103448275862,0.15294117647058825,0.36,0.39,0.1994459833795014,0.21971830985915494,0.020272326479653546,
fox,100,0.11594202898550725,0.1271186440677966,0.16,0.15,0.13445378151260504,0.13761467889908258,0.0031608973864775403,
girl,100,0.11009174311926606,0.10309278350515463,0.12,0.1,0.11483253588516747,0.10152284263959391,-0.013309693245573559,
hamster,100,0.16470588235294117,0.17365269461077845,0.28,0.29,0.2074074074074074,0.21722846441947566,0.009821057012068257,
house,100,0.10614525139664804,0.09036144578313253,0.19,0.15,0.13620071684587814,0.11278195488721804,-0.023418761958660106,
kangaroo,100,0.08121827411167512,0.07555555555555556,0.16,0.17,0.10774410774410774,0.10461538461538461,-0.0031287231287231293,
keyboard,100,0.2159090909090909,0.20958083832335328,0.38,0.35,0.2753623188405797,0.26217228464419473,-0.013190034196384981,
lamp,100,0.2826086956521739,0.225,0.26,0.27,0.2708333333333333,0.24545454545454545,-0.025378787878787862,
lawn_mower,100,0.5,0.5181818181818182,0.54,0.57,0.5192307692307693,0.5428571428571428,0.023626373626373542,
leopard,100,0.08,0.07924528301886792,0.2,0.21,0.11428571428571428,0.11506849315068493,0.0007827788649706485,
lion,100,0.11267605633802817,0.14015151515151514,0.32,0.37,0.16666666666666666,0.2032967032967033,0.03663003663003664,
lizard,100,0.06321839080459771,0.08522727272727272,0.11,0.15,0.08029197080291971,0.10869565217391304,0.028403681370993333,
lobster,100,0.12,0.1360544217687075,0.15,0.2,0.13333333333333333,0.16194331983805668,0.02860998650472335,
man,100,0.10588235294117647,0.16666666666666666,0.09,0.15,0.0972972972972973,0.15789473684210525,0.06059743954480795,
maple_tree,100,0.20973782771535582,0.20224719101123595,0.56,0.54,0.30517711171662126,0.29427792915531337,-0.010899182561307896,
motorcycle,100,0.25165562913907286,0.26174496644295303,0.38,0.39,0.30278884462151395,0.3132530120481928,0.010464167426678828,
mountain,100,0.1925133689839572,0.23157894736842105,0.36,0.44,0.2508710801393728,0.30344827586206896,0.052577195722696146,
mouse,100,0.06569343065693431,0.09022556390977443,0.09,0.12,0.0759493670886076,0.10300429184549356,0.027054924756885965,
mushroom,100,0.21428571428571427,0.19230769230769232,0.12,0.15,0.15384615384615385,0.16853932584269662,0.01469317199654277,
oak_tree,100,0.45,0.4489795918367347,0.36,0.44,0.4,0.4444444444444444,0.0444444444444444,
orange,100,0.43859649122807015,0.5138888888888888,0.25,0.37,0.3184713375796178,0.43023255813953487,0.11176122055991705,
orchid,100,0.25,0.0,0.01,0.0,0.019230769230769232,0.0,-0.019230769230769232,
otter,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
palm_tree,100,0.0,0.5,0.0,0.01,0.0,0.0196078431372549,0.0196078431372549,
pear,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
pickup_truck,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
pine_tree,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
plain,100,0.5064102564102564,0.5241379310344828,0.79,0.76,0.6171875,0.6204081632653061,0.003220663265306123,
plate,100,0.4189189189189189,0.5068493150684932,0.31,0.37,0.3563218390804598,0.4277456647398844,0.07142382565942462,
poppy,100,0.45614035087719296,0.38596491228070173,0.26,0.22,0.33121019108280253,0.2802547770700637,-0.05095541401273884,
porcupine,100,0.42857142857142855,0.6666666666666666,0.03,0.04,0.056074766355140186,0.07547169811320754,0.019396931758067358,
possum,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
rabbit,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
raccoon,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ray,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
road,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
rocket,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
rose,100,0.24242424242424243,0.2623762376237624,0.48,0.53,0.3221476510067114,0.3509933774834437,0.028845726476732336,
sea,100,0.4722222222222222,0.45977011494252873,0.34,0.4,0.3953488372093023,0.42780748663101603,0.032458649421713726,
seal,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
shark,100,0.35294117647058826,0.4,0.06,0.12,0.10256410256410256,0.18461538461538463,0.08205128205128207,
shrew,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
skunk,100,0.0,1.0,0.0,0.01,0.0,0.019801980198019802,0.019801980198019802,
skyscraper,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
snail,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
snake,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
spider,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
squirrel,100,0.04666666666666667,0.05154639175257732,0.14,0.15,0.07,0.07672634271099744,0.006726342710997438,
streetcar,100,0.13333333333333333,0.25,0.02,0.04,0.034782608695652174,0.06896551724137931,0.034182908545727135,
sunflower,100,0.5633802816901409,0.6521739130434783,0.4,0.45,0.4678362573099415,0.5325443786982249,0.06470812138828341,
sweet_pepper,100,0.25,0.14285714285714285,0.01,0.01,0.019230769230769232,0.018691588785046728,-0.0005391804457225043,
table,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
tank,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
telephone,100,0.5,1.0,0.01,0.01,0.0196078431372549,0.019801980198019802,0.00019413706076490053,
television,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
tiger,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
tractor,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
train,100,0.11320754716981132,0.13725490196078433,0.18,0.21,0.138996138996139,0.16600790513833993,0.027011766142200938,
trout,100,0.47058823529411764,0.5,0.32,0.3,0.38095238095238093,0.375,-0.005952380952380931,
tulip,100,0.4166666666666667,0.11764705882352941,0.05,0.02,0.08928571428571429,0.03418803418803419,-0.055097680097680096,
turtle,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
wardrobe,100,0.7142857142857143,0.9166666666666666,0.05,0.11,0.09345794392523364,0.19642857142857142,0.10297062750333778,
whale,100,0.5,1.0,0.01,0.01,0.0196078431372549,0.019801980198019802,0.00019413706076490053,
willow_tree,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
