cls,target,pool_rows,preferred_available,preferred_used,unique_vectors_used
benign,75000,2411741,-1,-1,75000
bot,841,841,841,-1,841
brute_force,5967,28194,28193,-1,5967
ddos,5966,153482,153481,-1,5966
dos,5966,39298,39297,-1,5966
infiltration,5965,14059,7139,-1,5965
web_attacks,295,295,188,-1,295
