model,macro_f1,accuracy,rows
global_raw,0.677526212082118,0.881648422805069,2271723
global_calibrated,0.677526212082118,0.881648422805069,2271723
designed_e1_raw,0.7280579377425038,0.8905601607238206,2271723
designed_e1_calibrated,0.7280579377425038,0.8905601607238206,2271723
designed_e2_raw,0.7106877671452219,0.8851528113242679,2271723
designed_e2_calibrated,0.7106877671452219,0.8851528113242679,2271723
designed_e3_raw,0.6763190240722399,0.8627323841859241,2271723
designed_e3_calibrated,0.6763190240722399,0.8627323841859241,2271723
designed_e4_raw,0.6963492617780596,0.8769475855991246,2271723
designed_e4_calibrated,0.6963492617780596,0.8769475855991246,2271723
designed_fixed_region,0.7011860310094733,0.8840298751212186,2271723
designed_validation_region_reference,0.6887909348269899,0.8804268830310737,2271723
designed_region_constant,0.054454889425141026,0.15307368019780582,2271723
matched_random_e1_raw,0.6821342053183946,0.8754051440250418,2271723
matched_random_e1_calibrated,0.6821342053183946,0.8754051440250418,2271723
matched_random_e2_raw,0.7128048070344264,0.8868004593869939,2271723
matched_random_e2_calibrated,0.7128048070344264,0.8868004593869939,2271723
matched_random_e3_raw,0.6960339879168376,0.8742474324554534,2271723
matched_random_e3_calibrated,0.6960339879168376,0.8742474324554534,2271723
matched_random_e4_raw,0.6963492617780596,0.8769475855991246,2271723
matched_random_e4_calibrated,0.6963492617780596,0.8769475855991246,2271723
matched_random_fixed_region,0.7060341680401465,0.8769682747412426,2271723
matched_random_validation_region_reference,0.6856494417840285,0.8770743616189122,2271723
matched_random_region_constant,0.054454889425141026,0.15307368019780582,2271723
balanced_random_e1_raw,0.7289938008753041,0.8905223039956897,2271723
balanced_random_e1_calibrated,0.7289938008753041,0.8905223039956897,2271723
balanced_random_e2_raw,0.7246149261761454,0.8869241540451895,2271723
balanced_random_e2_calibrated,0.7246149261761454,0.8869241540451895,2271723
balanced_random_e3_raw,0.7262184856939774,0.882895053666314,2271723
balanced_random_e3_calibrated,0.7262184856939774,0.882895053666314,2271723
balanced_random_e4_raw,0.719505860141153,0.8877407148670855,2271723
balanced_random_e4_calibrated,0.719505860141153,0.8877407148670855,2271723
balanced_random_fixed_region,0.7333371844316072,0.8864861605046038,2271723
balanced_random_validation_region_reference,0.7289938008753041,0.8905223039956897,2271723
balanced_random_region_constant,0.054454889425141026,0.15307368019780582,2271723
