beta,T,tune_balanced_nll
0.0,0.8,0.642964
0.0,1.0,0.653722
0.0,1.25,0.711989
0.5,0.8,1.389428
0.5,1.0,1.300553
0.5,1.25,1.278228
1.0,0.8,2.929696
1.0,1.0,2.544611
1.0,1.25,2.288709
