arm,region,model,rows,classes_present,macro_f1,present_class_macro_f1,accuracy
designed,1,global,2118625,10,0.6541562263885281,0.6541562263885281,0.9133315239837159
designed,1,e1,2118625,10,0.7155402820319389,0.7155402820319389,0.9161243731193581
designed,1,e2,2118625,10,0.6959990863946574,0.6959990863946574,0.9126117175054576
designed,1,e3,2118625,10,0.6645699742027578,0.6645699742027578,0.8920790607115464
designed,1,e4,2118625,10,0.6596632126718439,0.6596632126718439,0.9037418136763231
designed,1,region_constant,2118625,10,0.025892459085909213,0.025892459085909213,0.14871532243790195
designed,2,global,43043,9,0.23912370424014276,0.2656930047112697,0.880677462072811
designed,2,e1,43043,9,0.4054190286272742,0.45046558736363795,0.850521571451804
designed,2,e2,43043,9,0.36893185919908594,0.40992428799898434,0.8654833538554468
designed,2,e3,43043,9,0.37673801347297,0.4185977927477444,0.9293264874660223
designed,2,e4,43043,9,0.40630303177532295,0.45144781308369214,0.9411054062216853
designed,2,region_constant,43043,9,0.01496431949101539,0.01662702165668377,0.08087261575633668
designed,3,global,101136,10,0.18861243217145043,0.18861243217145043,0.28713811105837683
designed,3,e1,101136,10,0.3315898008367486,0.3315898008367486,0.44064428096820124
designed,3,e2,101136,10,0.2919853194723407,0.2919853194723407,0.3875177978168011
designed,3,e3,101136,10,0.24316788463755284,0.24316788463755284,0.2876127195064072
designed,3,e4,101136,10,0.20911937841720868,0.20911937841720868,0.3557388071507673
designed,3,region_constant,101136,10,0.04401739720534255,0.04401739720534255,0.28219427305806044
designed,4,global,8919,5,0.08665533605713645,0.1733106721142729,0.10169301491198565
designed,4,e1,8919,5,0.12236694902184286,0.24473389804368573,0.11301715438950555
designed,4,e2,8919,5,0.2719977115988784,0.5439954231977568,0.10034757259782487
designed,4,e3,8919,5,0.08451797959807113,0.16903595919614225,0.09182643794147326
designed,4,e4,8919,5,0.022380359167702018,0.044760718335404036,0.11279291400381208
designed,4,region_constant,8919,5,0.013546566321730949,0.027093132643461897,0.07265388496468214
matched_random,1,global,2118625,10,0.6541562263885281,0.6541562263885281,0.9133315239837159
matched_random,1,e1,2118625,10,0.6912281142246159,0.6912281142246159,0.9106335477019293
matched_random,1,e2,2118625,10,0.6939144398754681,0.6939144398754681,0.912468700218302
matched_random,1,e3,2118625,10,0.6677806366137284,0.6677806366137284,0.9075338958050623
matched_random,1,e4,2118625,10,0.6596632126718439,0.6596632126718439,0.9037418136763231
matched_random,1,region_constant,2118625,10,0.025892459085909213,0.025892459085909213,0.14871532243790195
matched_random,2,global,43043,9,0.23912370424014276,0.2656930047112697,0.880677462072811
matched_random,2,e1,43043,9,0.2984659173765934,0.33162879708510373,0.2920103152661292
matched_random,2,e2,43043,9,0.3702169028852802,0.411352114316978,0.8632762586250958
matched_random,2,e3,43043,9,0.3652281722911369,0.4058090803234855,0.8726622214994308
matched_random,2,e4,43043,9,0.40630303177532295,0.45144781308369214,0.9411054062216853
matched_random,2,region_constant,43043,9,0.01496431949101539,0.01662702165668377,0.08087261575633668
matched_random,3,global,101136,10,0.18861243217145043,0.18861243217145043,0.28713811105837683
matched_random,3,e1,101136,10,0.35174131972951433,0.35174131972951433,0.4530038759689923
matched_random,3,e2,101136,10,0.331209640718782,0.331209640718782,0.42805726941939565
matched_random,3,e3,101136,10,0.22717288138181443,0.22717288138181443,0.24495728523967727
matched_random,3,e4,101136,10,0.20911937841720868,0.20911937841720868,0.3557388071507673
matched_random,3,region_constant,101136,10,0.04401739720534255,0.04401739720534255,0.28219427305806044
matched_random,4,global,8919,5,0.08665533605713645,0.1733106721142729,0.10169301491198565
matched_random,4,e1,8919,5,0.08893790047115664,0.17787580094231328,0.11245655342527189
matched_random,4,e2,8919,5,0.25396697886316816,0.5079339577263363,0.10494450050454086
