beta,T,tune_balanced_nll
0.0,0.8,0.628147
0.0,1.0,0.685691
0.0,1.25,0.793134
0.5,0.8,2.881907
0.5,1.0,2.536097
0.5,1.25,2.320485
1.0,0.8,7.680028
1.0,1.0,6.307384
1.0,1.25,5.27542
