expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,1973385,12761,186000,131105,1520,39322,9257,2899,1897,0
2,26615,12761,26615,0,12,0,0,10527,15824,252
