context,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
ref(D_global),0.870702,0.010325,0.028595,0.065837,0.015061,0.009353,0.000126
C0,0.749983,0.049395,0.049395,0.049395,0.049395,0.049391,0.003048
expert1,0.669655,0.017714,0.207896,0.056639,0.024652,0.019611,0.003834
expert2,0.050809,0.051113,0.050809,0.050809,0.318107,0.452606,0.025747
