true_class,owner_expert,intruding_expert,false_accept_count,true_class_test_support,owner_also_in_rate,owner_lower_energy_rate,resolvable_by_argmin_rate,mean_owner_energy,owner_threshold,mean_intruder_energy,intruder_threshold
ddos,flood,application,3156,100000,0.8742078580481623,0.114702154626109,0.114702154626109,-2.5561375617980957,-2.130122184753418,-3.199643850326538,-3.0487101078033447
dos,flood,application,2311,40692,0.0038944180008654264,0.0,0.0,-1.6966543197631836,-2.130122184753418,-3.113884210586548,-3.0487101078033447
injection,application,flood,2098,76356,0.20591039084842708,0.4966634890371783,0.20162059103908483,-2.992976665496826,-3.0487101078033447,-2.9730446338653564,-2.130122184753418
password,probe_access,application,931,100000,0.06229860365198711,1.0,0.06229860365198711,-6.259768962860107,-7.454983711242676,-3.2310385704040527,-3.0487101078033447
scanning,probe_access,application,577,100000,0.05719237435008666,1.0,0.05719237435008666,-6.108870029449463,-7.454983711242676,-3.211770534515381,-3.0487101078033447
scanning,probe_access,flood,172,100000,0.0,1.0,0.0,-5.319533824920654,-7.454983711242676,-2.724015951156616,-2.130122184753418
mitm,stealth_malware,application,163,1204,0.0,0.9141104294478528,0.0,-4.185214519500732,-5.446479797363281,-3.1980481147766113,-3.0487101078033447
ransomware,stealth_malware,flood,44,795,0.0,0.9772727272727273,0.0,-4.206485271453857,-5.446479797363281,-3.049154758453369,-2.130122184753418
password,probe_access,flood,36,100000,0.0,1.0,0.0,-5.570343971252441,-7.454983711242676,-2.708216428756714,-2.130122184753418
backdoor,stealth_malware,application,26,40678,0.0,0.5384615384615384,0.0,-3.312436580657959,-5.446479797363281,-3.172710657119751,-3.0487101078033447
ransomware,stealth_malware,application,15,795,0.0,1.0,0.0,-3.8155107498168945,-5.446479797363281,-3.18435001373291,-3.0487101078033447
injection,application,probe_access,8,76356,0.0,0.0,0.0,-2.730205535888672,-3.0487101078033447,-7.905806541442871,-7.454983711242676
mitm,stealth_malware,flood,8,1204,0.0,1.0,0.0,-3.7232065200805664,-5.446479797363281,-2.9421043395996094,-2.130122184753418
backdoor,stealth_malware,probe_access,4,40678,0.0,0.0,0.0,-2.9524786472320557,-5.446479797363281,-7.7513203620910645,-7.454983711242676
backdoor,stealth_malware,flood,2,40678,0.0,1.0,0.0,-2.5040993690490723,-5.446479797363281,-2.162247896194458,-2.130122184753418
