class,owner_expert,is_tail,singleton_expert,support,xgb_precision,xgb_recall,xgb_f1,expert_precision,expert_recall,expert_f1,f1_delta,owner_expert_in_rate (↑),other_experts_out_rate (↑),in_rate__flood (owner↑/non-owner↓),in_rate__probe_access (owner↑/non-owner↓),in_rate__application (owner↑/non-owner↓),in_rate__stealth_malware (owner↑/non-owner↓),in_rate__benign (owner↑/non-owner↓)
benign,benign,False,True,100000,,,,0.4464995252997644,0.88886,0.5944100604200312,,0.88886,0.653535,0.55877,0.03932,0.78774,3e-05,0.88886
ddos,flood,False,False,100000,0.9884165285318669,0.9958,0.9920945269418721,0.985220063441713,0.99389,0.9895360414177619,-0.002558485524110199,0.99496,0.9790575,0.99496,0.0,0.03156,0.0,0.05221
password,probe_access,False,False,100000,0.9980100795968161,0.99805,0.998030039399212,0.9995283513258568,0.95365,0.9760503556624534,-0.021979683736758626,0.95365,0.9971625000000001,0.00036,0.95365,0.00931,0.0,0.00168
scanning,probe_access,False,False,100000,0.9996596562528154,0.99865,0.999154573059395,0.9999311973946747,0.436,0.6072296539765882,-0.3919249190828068,0.43636,0.7504799999999999,0.00172,0.43636,0.00577,0.0,0.99059
injection,application,False,True,76356,0.9949459860776221,0.9565194614699565,0.9753543932747074,0.9103499088388821,0.9547252344282047,0.9320096654180038,-0.043344727856703624,0.9547252344282047,0.9857509560479858,0.027476557179527475,0.00010477238200010477,0.9547252344282047,0.0,0.029414846246529416
dos,flood,False,False,40692,0.9416341508732813,0.9963383466037551,0.9682141663084491,0.9738772014346128,0.8941806743340214,0.9323289005047788,-0.03588526580367035,0.8941806743340214,0.9677885087977981,0.8941806743340214,0.0,0.05679248992430945,0.0,0.07205347488449818
backdoor,stealth_malware,True,False,40678,0.999827836395386,0.9993608338659717,0.9995942805857113,1.0,0.9967550027041644,0.9983748645720477,-0.001219416013663599,0.9967550027041644,0.9991150007374994,4.9166625694478586e-05,9.833325138895717e-05,0.0006391661340282216,0.9967550027041644,0.002753331038890801
mitm,stealth_malware,True,False,1204,0.8395904436860068,0.8172757475083057,0.8282828282828283,0.0,0.0,0.0,-0.8282828282828283,0.0,0.8974252491694352,0.006644518272425249,0.0,0.13538205980066445,0.0,0.26827242524916944
ransomware,stealth_malware,True,False,795,0.9782330345710627,0.9610062893081761,0.9695431472081218,1.0,0.018867924528301886,0.037037037037037035,-0.9325061101710848,0.018867924528301886,0.9418238993710691,0.055345911949685536,0.0,0.018867924528301886,0.018867924528301886,0.15849056603773584
macro_avg,,,,459725,0.9675397144981072,0.9653750848445206,0.9662834943825371,0.8586133403044673,0.6560086044993365,0.6840708148235839,-0.2822126795589533,,,,,,,
tail_macro_avg,,,,42677,0.9392171048841518,0.9258809568941512,0.9324734186922204,0.6666666666666666,0.3385409757441555,0.3451373005363616,-0.5873361181558588,,,,,,,
weighted_avg,,,,459725,0.9904948782511321,0.9902202403610855,0.9902228078118515,0.976846266651375,0.8444178585023655,0.8853679915670979,-0.10485481624475355,,,,,,,
