expert,active_owned_classes,ood_role,pre_auroc,pre_aupr_id,pre_fpr95,pre_id_retain,pre_ood_detect,post_auroc,post_aupr_id,post_fpr95,post_id_retain,post_ood_detect,auroc_delta,fpr95_delta,ood_detect_delta
flood,"ddos,dos",non_owned_known_attack,0.9177638102342311,0.8621023807507417,0.37762864656634265,0.958313194780087,0.6158485172380287,0.9984825301566634,0.9951361013664214,0.006102816949970693,0.9658118443123987,0.9926026461212476,0.08071871992243229,-0.371525829616372,0.3767541288832189
flood,"ddos,dos",unseen,0.9391844328746481,0.9573083947175506,0.24666,0.958313194780087,0.72051,0.9684838583572626,0.9704692121773629,0.11846,0.9658118443123987,0.8515,0.02929942548261444,-0.12819999999999998,0.13099000000000005
flood,"ddos,dos",target_non_owned_validation,0.8954776415004673,0.887131874567998,0.5322465122072746,0.958313194780087,0.45999937717987044,0.9986870153481474,0.9975139672974797,0.005050033217073576,0.9658118443123987,0.9936420445108786,0.10320937384768014,-0.5271964789902011,0.5336426673310082
flood,"ddos,dos",benign_diagnostic,0.9583247732280443,0.9695418704593429,0.20696,0.958313194780087,0.78962,0.952346137413641,0.9159997671749236,0.05629,0.9658118443123987,0.83568,-0.005978635814403277,-0.15067,0.04605999999999999
flood,"ddos,dos",pooled_attack_out,0.9228757280641913,0.8454591403858464,0.34637367462705804,0.958313194780087,0.640825424250596,0.9913235064522296,0.9661266236510261,0.0329162619650481,0.9658118443123987,0.9589292490090279,0.06844777838803828,-0.31345741266200994,0.3181038247584319
flood,"ddos,dos",unseen::xss,0.9391844328746481,0.9573083947175506,0.24666,0.958313194780087,0.72051,0.9684838583572626,0.9704692121773629,0.11846,0.9658118443123987,0.8515,0.02929942548261444,-0.12819999999999998,0.13099000000000005
probe_access,"scanning,password",non_owned_known_attack,0.9532969918086438,0.886299840856245,0.0760073154297815,0.912155,0.936043892578689,0.9998460165174704,0.9998225893664298,0.00013090769082683607,0.695005,0.9999537972855905,0.0465490247088266,-0.07587640773895465,0.0639099047069015
probe_access,"scanning,password",unseen,0.9952954827749999,0.9976039877527028,0.01105,0.912155,0.99433,0.9993531858500001,0.999709583595543,0.00042,0.695005,0.99972,0.004057703075000196,-0.01063,0.005390000000000006
probe_access,"scanning,password",target_non_owned_validation,0.9574862982171976,0.9215921484361623,0.07635673500106346,0.912155,0.936906573299957,0.9998330542557657,0.9998562043095908,0.0001472488997234993,0.695005,0.9999345560445674,0.04234675603856819,-0.07620948610133997,0.06302798274461041
probe_access,"scanning,password",benign_diagnostic,0.7154105830499999,0.794290169885876,0.58337,0.912155,0.45697,0.6412150538000001,0.7322357994163178,0.48871,0.695005,0.5439,-0.07419552924999984,-0.09466000000000008,0.08693000000000006
probe_access,"scanning,password",pooled_attack_out,0.964972157828897,0.8847255419435751,0.057949822781291266,0.912155,0.9522468552366391,0.9997090144554868,0.9995675305560163,0.00021127249982625615,0.695005,0.9998888039474598,0.03473685662658976,-0.05773855028146501,0.047641948710820725
probe_access,"scanning,password",unseen::xss,0.9952954827749999,0.9976039877527028,0.01105,0.912155,0.99433,0.9993531858500001,0.999709583595543,0.00042,0.695005,0.99972,0.004057703075000196,-0.01063,0.005390000000000006
application,injection,non_owned_known_attack,0.2742000352238578,0.18904510551456827,0.9815269361894154,0.9615616323537116,0.018402635580863344,0.9949387228542721,0.9837550885905227,0.01652194100201112,0.9547252344282047,0.9812739162530095,0.7207386876304143,-0.9650049951874043,0.9628712806721462
application,injection,unseen,0.2605650422363665,0.3645709720441345,0.97901,0.9615616323537116,0.01622,0.9400715654303526,0.9512076668647926,0.51101,0.9547252344282047,0.46895,0.6795065231939861,-0.4680000000000001,0.45272999999999997
application,injection,target_non_owned_validation,0.25637521885317727,0.23810381826631347,0.995406298342068,0.9615616323537116,0.0045594203022758534,0.9946629210839788,0.9880964610737952,0.01711925198081958,0.9547252344282047,0.9797482891460942,0.7382877022308015,-0.9782870463612484,0.9751888688438184
application,injection,benign_diagnostic,0.2213467690816701,0.3935647892590636,0.99711,0.9615616323537116,0.00271,0.9742417042537588,0.9769987783488703,0.36147,0.9547252344282047,0.63005,0.7528949351720887,-0.63564,0.62734
application,injection,pooled_attack_out,0.2713792103493848,0.15114971574896285,0.9810062291955007,0.9615616323537116,0.017951089126526525,0.9835877348049931,0.9458923843755199,0.11882226621897557,0.9547252344282047,0.8752836859624842,0.7122085244556082,-0.8621839629765251,0.8573325968359576
application,injection,unseen::xss,0.2605650422363665,0.3645709720441345,0.97901,0.9615616323537116,0.01622,0.9400715654303526,0.9512076668647926,0.51101,0.9547252344282047,0.46895,0.6795065231939861,-0.4680000000000001,0.45272999999999997
stealth_malware,"backdoor,mitm,ransomware",non_owned_known_attack,0.9874183698102297,0.9533119482287145,0.12290911357925227,0.950863462755114,0.8770908864207477,0.9952548241589719,0.9814347442054143,0.0,0.9504182580781217,1.0,0.00783645434874225,-0.12290911357925227,0.12290911357925227
stealth_malware,"backdoor,mitm,ransomware",unseen,0.9915191630152073,0.9892257700718654,0.0,0.950863462755114,1.0,0.9976283757058837,0.9973981139302317,0.0,0.9504182580781217,1.0,0.0061092126906764355,0.0,0.0
stealth_malware,"backdoor,mitm,ransomware",target_non_owned_validation,0.9963160639866551,0.9901673975033318,0.009713699307410747,0.950863462755114,0.9902863006925893,0.9989784864833959,0.9976449581344249,4.154704579730858e-06,0.9504182580781217,0.9999958452954203,0.0026624224967408683,-0.009709544602831017,0.009709544602831022
stealth_malware,"backdoor,mitm,ransomware",benign_diagnostic,0.9890839449820747,0.9815385231109316,0.07948,0.950863462755114,0.92052,0.9958210202216651,0.9927703820653594,0.0,0.9504182580781217,0.99999,0.006737075239590329,-0.07948,0.07947000000000004
stealth_malware,"backdoor,mitm,ransomware",pooled_attack_out,0.9882114863496956,0.9516401304258486,0.09913779765128189,0.950863462755114,0.900862202348718,0.995713882417956,0.9810628140066128,0.0,0.9504182580781217,1.0,0.00750239606826042,-0.09913779765128189,0.09913779765128194
stealth_malware,"backdoor,mitm,ransomware",unseen::xss,0.9915191630152073,0.9892257700718654,0.0,0.950863462755114,1.0,0.9976283757058837,0.9973981139302317,0.0,0.9504182580781217,1.0,0.0061092126906764355,0.0,0.0
