expert,active_owned_classes,configured_owned_classes,singleton_expert,owned_attack_in_rate (↑),non_owned_attack_false_in_rate (↓),target_non_owned_validation_false_in_rate (↓),unseen_false_in_rate (↓),external_aux_validation_false_in_rate (↓),benign_false_in_rate (diagnostic)
flood,"ddos,dos","ddos,dos",False,0.9658118443123987,0.0073973538787523545,0.0063579554891214085,0.1485,,0.16432
probe_access,"scanning,password","scanning,password",False,0.695005,4.620271440947156e-05,6.544395543266635e-05,0.00028,,0.4561
application,injection,"injection,xss",True,0.9547252344282047,0.018726083746990498,0.020251710853905716,0.53105,,0.36995
stealth_malware,"backdoor,mitm,ransomware","backdoor,mitm,ransomware",False,0.9504182580781217,0.0,4.154704579730858e-06,0.0,,1e-05
benign,benign,benign,True,0.88886,0.2396802436239056,0.20166006147591606,0.18082,,
