role,branch,count,share_of_role,accuracy
known,all_out,8188,0.017810647669802598,0.0
known,argmin,56010,0.12183370493229648,0.884056418496697
known,owner_only,395527,0.8603556473979009,0.8463821686003736
known,ALL,459725,1.0,0.8358975474468432
unseen,all_out,30148,0.30148,1.0
unseen,argmin,15737,0.15737,0.0
unseen,owner_only,54115,0.54115,0.0
unseen,ALL,100000,1.0,0.30148
benign,all_out,4321,0.04321,0.0
benign,argmin,79329,0.79329,0.9342989322946211
benign,owner_only,16350,0.1635,0.590091743119266
benign,ALL,100000,1.0,0.83765
