true_class,role,owner_expert,support,all_out_rate,owner_only_in_rate,single_non_owner_in_rate,multi_in_rate,mean_experts_in
backdoor,target known,stealth_malware,40678,0.002507497910418408,0.9967550027041644,0.0006883327597227003,4.9166625694478586e-05,0.997541668715276
ddos,target known,flood,100000,0.00107,0.96737,0.00397,0.02759,1.02652
dos,target known,flood,40692,0.049248009436744324,0.8939595006389462,0.056571316229234246,0.00022117369507519905,0.9509731642583309
injection,target known,application,76356,0.02335114463827335,0.949067525800199,0.021923620933521924,0.005657708628005658,0.9823065639897323
mitm,target known,stealth_malware,1204,0.8579734219269103,0.0,0.1420265780730897,0.0,0.1420265780730897
password,target known,probe_access,100000,0.03737,0.95307,0.00887,0.00069,0.96332
ransomware,target known,stealth_malware,795,0.9144654088050315,0.018867924528301886,0.05911949685534591,0.007547169811320755,0.0930817610062893
scanning,target known,probe_access,100000,0.55739,0.43603,0.00534,0.00124,0.44385
unseen::xss,target unseen,,100000,0.33492,,0.65033,0.01475,0.67983
benign_diagnostic,benign diagnostic,,100000,0.12137,,0.76688,0.11175,0.99038
