class,winner,rows
benign,benign,2241635
benign,tail,1260011
ddos,flood,256760
brute_force,tail,77422
bot,bf_bot,41400
brute_force,bf_bot,37618
dos,flood,35912
dos,tail,24083
infiltration,tail,18856
infiltration,benign,10349
infiltration,flood,8246
ddos,benign,5285
ddos,tail,2827
benign,flood,710
dos,benign,599
benign,bf_bot,570
web_attacks,tail,502
infiltration,bf_bot,180
bot,benign,135
bot,tail,7
web_attacks,benign,6
web_attacks,bf_bot,1
