class,winner,rows
password,probe_access,793
dos,flood,788
scanning,benign,782
backdoor,stealth_malware,772
ddos,flood,755
injection,application,715
ransomware,stealth_malware,687
mitm,stealth_malware,654
xss,application,501
benign,flood,467
benign,benign,192
xss,flood,176
mitm,flood,112
xss,stealth_malware,108
benign,stealth_malware,75
ransomware,application,54
injection,flood,53
ransomware,flood,42
benign,application,37
ddos,application,32
benign,probe_access,29
mitm,application,29
backdoor,probe_access,24
injection,stealth_malware,13
ransomware,benign,12
injection,benign,11
xss,benign,10
scanning,probe_access,9
ddos,stealth_malware,8
injection,probe_access,8
dos,stealth_malware,6
ddos,benign,5
password,application,5
scanning,stealth_malware,5
xss,probe_access,5
mitm,probe_access,4
dos,application,3
dos,benign,3
scanning,application,3
backdoor,application,2
backdoor,flood,1
backdoor,benign,1
mitm,benign,1
password,flood,1
password,stealth_malware,1
scanning,flood,1
