class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1,_footer
class_0,1000,0.22455165445819653,0.2683471601786854,0.889,0.841,0.3585400282314983,0.40686985970004835,0.04832983146855008,
class_1,1000,0.2997676219984508,0.3158736505397841,0.774,0.79,0.4321608040201005,0.4512996286775207,0.019138824657420228,
class_2,1000,0.2330327479829141,0.2395615866388309,0.491,0.459,0.31606050852912776,0.3148148148148148,-0.0012456937143129343,
class_3,1000,0.26253687315634217,0.27220216606498193,0.267,0.377,0.26474962816063463,0.3161425576519916,0.05139292949135699,
class_4,1000,0.43891402714932126,0.39171974522292996,0.097,0.246,0.1588861588861589,0.3022113022113022,0.14332514332514332,
class_5,1000,0.6263736263736264,0.5260663507109005,0.057,0.111,0.10449129239230064,0.1833195706028076,0.07882827821050696,
class_6,1000,1.0,0.6344086021505376,0.018,0.118,0.03536345776031434,0.19898819561551434,0.1636247378552,
class_7,1000,0.8,0.7631578947368421,0.004,0.029,0.007960199004975124,0.055876685934489405,0.04791648692951428,
class_8,1000,0.0,1.0,0.0,0.001,0.0,0.001998001998001998,0.001998001998001998,
class_9,1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
macro avg,10000,0.38851765511188513,0.4411337156243492,0.25970000000000004,0.2972,0.167821207698511,0.2231520617206491,0.05533085402213811,True
weighted avg,10000,0.38851765511188513,0.44113371562434933,0.2597,0.2972,0.167821207698511,0.22315206172064914,0.05533085402213814,True
