class,support,prec(B),prec(M),recall(B),recall(M),f1(B),f1(M),delta_f1
benign,454537,0.9999713636834233,0.9997890796546235,0.9987217762250378,0.9907048271097842,0.999346179331782,0.995226223943139,-0.004119955388643071
dos-hulk,46025,0.9978739098364212,0.9981108722558791,0.999369907658881,0.9987180879956545,0.9986213484731705,0.9984143878016465,-0.00020696067152403685
portscan,31786,0.9935899440292674,0.9936700927550765,0.9996853960863273,0.9976090102560876,0.9966283500870357,0.995635655750573,-0.0009926943364626517
ddos,25606,0.999336507688705,0.9999609145983975,0.9999609466531282,0.9991408263688198,0.999648629655657,0.9995507022718837,-9.792738377334409e-05
dos-goldeneye,2059,0.9804482594182165,0.9887365328109696,0.9985429820301117,0.9805730937348227,0.9894128970163619,0.9846378931967813,-0.0047750038195806255
ftp-patator,1588,0.9993702770780857,1.0,0.9993702770780857,0.9974811083123426,0.9993702770780857,0.9987389659520807,-0.0006313111260050075
ssh-patator,1179,0.9991525423728813,1.0,1.0,0.9957591178965225,0.9995760915642221,0.9978750531236719,-0.001701038440550251
dos-slowloris,1159,0.9813084112149533,0.9956597222222222,0.996548748921484,0.9896462467644521,0.9888698630136986,0.9926438771094764,0.0037740140957778223
dos-slowhttptest,1100,0.983754512635379,0.9826325411334552,0.990909090909091,0.9772727272727273,0.9873188405797102,0.9799453053783045,-0.007373535201405712
bot,393,0.6582064297800339,0.1328600405679513,0.989821882951654,1.0,0.790650406504065,0.23455684870188004,-0.5560935578021851
web-attack-�-brute-force,302,0.7598566308243727,0.2431791221826809,0.7019867549668874,0.6788079470198676,0.729776247848537,0.35807860262008734,-0.37169764522844967
web-attack-�-xss,130,0.384180790960452,0.1756440281030445,0.5230769230769231,0.5769230769230769,0.44299674267100975,0.26929982046678635,-0.1736969222042234
infiltration,7,0.875,0.01545253863134658,1.0,1.0,0.9333333333333333,0.030434782608695653,-0.9028985507246376
web-attack-�-sql-injection,4,0.25,0.017241379310344827,0.25,0.75,0.25,0.033707865168539325,-0.21629213483146068
heartbleed,2,1.0,0.10526315789473684,1.0,1.0,1.0,0.19047619047619047,-0.8095238095238095
macro avg,565877,0.8574699719681461,0.6432133348080488,0.8965329791038407,0.9288424046436106,0.8737032804771113,0.6706148116379824,-0.2030884688391289
weighted avg,565877,0.9987555980715226,0.9980181699389253,0.9985897995500789,0.9918339144372363,0.9986450883045355,0.9945894048489856,-0.004055683455549852
