true_class,support,all_reject_rate,DoS_DDoS_accept_rate,DoS_DDoS_selected_rate,DoS_DDoS_margin,DoS_DDoS_stability,Scan_Brute_accept_rate,Scan_Brute_selected_rate,Scan_Brute_margin,Scan_Brute_stability,WebBot_Rare_accept_rate,WebBot_Rare_selected_rate,WebBot_Rare_margin,WebBot_Rare_stability
benign,454537,0.9907048271097842,0.00022220413299687373,0.00022220413299687373,-75.11951446533203,0.5814151167869568,0.00044440826599374746,0.00044440826599374746,-71.22905731201172,0.9479255676269531,0.008628560491225137,0.008628560491225137,-2.1061508655548096,0.6119285821914673
bot,393,0.0,0.0,0.0,-75.19878387451172,0.6363756060600281,0.0,0.0,-71.25010681152344,0.976180911064148,1.0,1.0,11.96882438659668,0.9926295876502991
ddos,25606,0.0008591736311801922,0.9991408263688198,0.9991408263688198,6.187640190124512,0.7594013214111328,0.0,0.0,-71.27119445800781,0.9436510801315308,0.0,0.0,-2.1859705448150635,0.5245087146759033
dos-goldeneye,2059,0.0048567265662943174,0.9941719281204469,0.982030111704711,5.986354827880859,0.9733538031578064,0.0,0.0,-71.18751525878906,0.9657050371170044,0.06605148130160272,0.013113161728994658,-1.6209315061569214,0.40335172414779663
dos-hulk,46025,0.0007821835958718088,0.999130907115698,0.9990874524714829,6.151303768157959,0.762495756149292,0.0,0.0,-71.18146514892578,0.955512285232544,0.002237914177077675,0.00013036393264530147,-2.1395087242126465,0.5008672475814819
dos-slowhttptest,1100,0.008181818181818182,0.9890909090909091,0.98,5.485264778137207,0.7864457964897156,0.0,0.0,-71.19361877441406,0.9691140055656433,0.10818181818181818,0.011818181818181818,-1.557939887046814,0.4346432089805603
dos-slowloris,1159,0.0025884383088869713,0.994823123382226,0.99137187230371,5.604847431182861,0.7332121133804321,0.0,0.0,-71.19673156738281,0.9610310196876526,0.026747195858498704,0.0060396893874029335,-1.9170001745224,0.400134801864624
ftp-patator,1588,0.001889168765743073,0.0,0.0,-75.12308502197266,0.5988147854804993,0.9974811083123426,0.9974811083123426,1.5281462669372559,0.387912780046463,0.0006297229219143577,0.0006297229219143577,-2.1705589294433594,0.3655436933040619
heartbleed,2,0.0,0.0,0.0,-74.89433288574219,0.7928676605224609,0.0,0.0,-71.26433563232422,0.9538096189498901,1.0,1.0,11.595379829406738,0.5363925099372864
infiltration,7,0.0,0.0,0.0,-75.19605255126953,0.6720129251480103,0.0,0.0,-71.2705078125,0.9836309552192688,1.0,1.0,11.880702018737793,0.8649613261222839
portscan,31786,0.00022022273957088027,0.00028314352230541747,0.00028314352230541747,-75.1698226928711,0.5583404898643494,0.9994022525640219,0.9976090102560876,1.5537078380584717,0.9756933450698853,0.002170767004341534,0.0018876234820361165,-2.159497022628784,0.8279784917831421
ssh-patator,1179,0.004240882103477523,0.0,0.0,-75.18959045410156,0.6972248554229736,0.9957591178965225,0.9957591178965225,1.5170347690582275,0.9533590078353882,0.0,0.0,-1.5521665811538696,0.46907997131347656
web-attack-�-brute-force,302,0.0,0.0,0.0,-73.3546371459961,0.7229686975479126,0.0,0.0,-68.14568328857422,0.972990095615387,1.0,1.0,12.013602256774902,0.5045837759971619
web-attack-�-sql-injection,4,0.0,0.25,0.0,-34.98126220703125,0.8450572490692139,0.0,0.0,-70.62772369384766,0.9462945461273193,1.0,1.0,11.269730567932129,0.38442501425743103
web-attack-�-xss,130,0.0,0.0,0.0,-72.01516723632812,0.6752005815505981,0.0,0.0,-68.6509780883789,0.9772963523864746,1.0,1.0,11.844076156616211,0.4957996606826782
