expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.6746,0.0004,5.2398
2,0.5332,0.0001,9.2491
3,0.6222,0.1464,3.419
4,0.5192,0.0002,9.1797
5,0.7556,0.0016,6.5615
6,0.4461,0.0,5.2734
