a,b,gain_pearson_r
e1,e2,0.9479
e1,e3,0.6306
e1,e4,0.8734
e1,e5,0.9471
e1,e6,0.9812
e2,e3,0.5709
e2,e4,0.909
e2,e5,0.9948
e2,e6,0.9748
e3,e4,0.5721
e3,e5,0.5868
e3,e6,0.5999
e4,e5,0.9128
e4,e6,0.8943
e5,e6,0.9741
