expert,tune_rows,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202122,0.8942,3096,18289,0.8757,0.0495
2,202122,0.5839,48179,35923,0.6192,0.0949
3,202122,0.4928,1208,101313,0.8542,0.2789
4,202122,0.5676,2136,85261,0.8643,0.2383
5,202122,0.7976,6441,34467,0.6155,0.1748
6,202122,0.8375,19967,12870,0.4995,0.1699
