class,fp_global,fp_final,fp_delta,tp_global,tp_final
benign,117634,110327,-7307,3475740,3475727
bot,4,4,0,41415,41415
brute_force,21110,21110,0,77344,77344
ddos,210,210,0,228113,228113
dos,2,2,0,21872,29171
infiltration,24893,24893,0,12446,12446
web_attacks,2086,2105,19,245,247
