K,beta,tune_expert_balanced_nll
2,0.0,2.938759
2,0.5,4.528212
2,1.0,8.517678
4,0.0,1.714004
4,0.5,3.200124
4,1.0,6.301106
8,0.0,1.959175
8,0.5,3.236932
8,1.0,6.656898
