expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,15408,12761,15408,0,0,0,0,0,15408,0
2,21047,12761,21047,0,0,0,0,21047,0,0
3,1896069,12761,186000,145447,20418,0,17387,0,2748,0
4,9734,12761,9734,842,0,0,0,8678,98,116
5,39987,12761,39987,11,0,39579,0,397,0,0
6,136,12761,136,0,0,0,0,0,0,136
