expert,proposed,accepted,accept_rate
1,11092,4,0.0004
2,10320,313,0.0303
3,42366,0,0.0
4,44367,4254,0.0959
5,78069,2749,0.0352
6,14639,0,0.0
total,200853,7320,0.0018194860995736138
