expert,class,rows,mean_gain,frac_positive
1,benign,100000,-0.1909930908226534,0.03293
1,bot,31156,0.48178703639049403,0.9995827448966491
1,brute_force,86279,3.3728754113611923,1.0
1,ddos,100000,0.02061516964168998,0.96684
1,dos,45446,-2.9576129302989043,0.44138097962416933
1,infiltration,28224,17.921958612697427,0.9309098639455783
1,web_attacks,381,776.7068943575582,1.0
2,benign,100000,-0.06267190310803333,0.06582
2,bot,31156,0.48521741887329417,1.0
2,brute_force,86279,-0.19180307502478006,0.0016226428215440605
2,ddos,100000,0.017029109791240688,0.98705
2,dos,45446,25.815947119730165,0.9989438014346698
2,infiltration,28224,13.764579161628218,0.9349135487528345
2,web_attacks,381,901.4728520250787,1.0
3,benign,100000,0.0032608888199197146,0.65555
3,bot,31156,0.4849996881368517,1.0
3,brute_force,86279,-0.1155385204290217,0.0054010825345680875
3,ddos,100000,0.02115095493878175,0.97989
3,dos,45446,9.498502203487819,0.7170047969018175
3,infiltration,28224,-7.704308462857527,0.5510558390022676
3,web_attacks,381,134.53490764558435,0.7506561679790026
4,benign,100000,-0.06754441252501625,0.01593
4,bot,31156,0.4798862018391429,1.0
4,brute_force,86279,-0.05602417307395136,0.004821567241159494
4,ddos,100000,0.020044249787017816,0.98814
4,dos,45446,25.974780067847718,0.9992738634863354
4,infiltration,28224,13.381836401755208,0.9101473922902494
4,web_attacks,381,356.67751616790764,0.46194225721784776
5,benign,100000,-0.06441185370892395,0.06233
5,bot,31156,0.4851517690339913,1.0
5,brute_force,86279,0.734917930227565,1.0
5,ddos,100000,0.021024108275172183,0.99802
5,dos,45446,25.204596570810597,1.0
5,infiltration,28224,13.713273621370016,0.9388109410430839
5,web_attacks,381,843.2020723618542,1.0
6,benign,100000,-0.06666379909124068,0.01808
6,bot,31156,0.4192896322339548,0.9995827448966491
6,brute_force,86279,-0.0070164040776370794,0.06958819643250386
6,ddos,100000,0.018842236722523133,0.93105
6,dos,45446,-1.4611409112972593,0.36971350613915416
6,infiltration,28224,13.049726946965297,0.8999078798185941
6,web_attacks,381,837.9068430800993,1.0
