method,rows,balanced_accuracy,macro_auprc,ece_15bin,benign_fpr
racepfn_system,4023114,0.6886,0.6527,0.0535,0.007765
global_tabpfn,4023114,0.6708,0.639,0.0522,0.007761
xgboost,4023114,0.7749,0.7426,0.0055,0.002662
