role,branch,count,share_of_role,accuracy
known,all_out,11017,0.05499618116741462,0.0
known,argmin,100472,0.5015499967552403,0.9999203758261008
known,owner_only,88834,0.4434538220773451,0.7368800234144585
known,ALL,200323,1.0,0.8282823240466647
unseen,all_out,2083,0.02083,1.0
unseen,argmin,71523,0.71523,0.0
unseen,owner_only,26394,0.26394,0.0
unseen,ALL,100000,1.0,0.02083
benign,all_out,1699,0.16338109433599385,0.0
benign,argmin,3732,0.3588806616020771,0.29769560557341906
benign,owner_only,4968,0.47773824406192905,0.7930756843800322
benign,ALL,10399,1.0,0.48571978074814887
