expert,active_owned_classes,ood_role,pre_auroc,pre_aupr_id,pre_fpr95,pre_id_retain,pre_ood_detect,post_auroc,post_aupr_id,post_fpr95,post_id_retain,post_ood_detect,auroc_delta,fpr95_delta,ood_detect_delta
flood,ddos,non_owned_known_attack,0.6156987590582419,0.5464023572852634,0.7550312490655183,0.54775,0.5719824965361882,0.9994783293960507,0.999511627180315,0.0,0.78204,1.0,0.38377957033780885,-0.7550312490655183,0.42801750346381184
flood,ddos,unseen,0.30035588595,0.4086844465560495,0.99811,0.54775,0.09634,0.53166965645,0.5170375410386145,0.946,0.78204,0.30144,0.23131377049999996,-0.0521100000000001,0.2051
flood,ddos,target_non_owned_validation,0.673216901317489,0.767329820054703,0.5683087256324146,0.54775,0.5495499075969239,0.9996518818432923,0.9998322421214012,0.0,0.78204,1.0,0.32643498052580333,-0.5683087256324146,0.4504500924030761
flood,ddos,external_aux_validation,0.45261223391869604,0.5742106005486629,0.7039875812554575,0.54775,0.4578053749878723,0.9935929665276027,0.9973861382857521,0.0,0.78204,1.0,0.5409807326089067,-0.7039875812554575,0.5421946250121277
flood,ddos,benign_diagnostic,0.631501367212295,0.6537381062036527,0.44595972224893726,0.54775,0.627555829117698,0.9985746450210621,0.9993219348432939,0.0,0.78204,1.0,0.3670732778087671,-0.44595972224893726,0.372444170882302
flood,ddos,pooled_attack_out,0.4582815512946591,0.2995558712787684,0.8763746549322844,0.54775,0.334544710292877,0.7659511393349739,0.5169087948093121,0.47223733670122753,0.78204,0.6512831776680661,0.30766958804031486,-0.40413731823105686,0.31673846737518907
flood,ddos,unseen::dos,0.30035588595,0.4086844465560495,0.99811,0.54775,0.09634,0.53166965645,0.5170375410386145,0.946,0.78204,0.30144,0.23131377049999996,-0.0521100000000001,0.2051
recon,reconnaissance,non_owned_known_attack,0.18445698135023872,0.3722808256812846,0.9984549903810691,0.99226,0.0012958145191032963,0.9992738664114909,0.9992428826249793,0.00599065019985447,0.87417,0.9999700965880207,0.8148168850612522,-0.9924643401812147,0.9986742820689174
recon,reconnaissance,unseen,0.20200660465,0.37097998916711783,0.99813,0.99226,0.00137,0.9923411785,0.9908397047525421,0.01997,0.87417,0.98321,0.79033457385,-0.9781599999999999,0.98184
recon,reconnaissance,target_non_owned_validation,0.15960704548615942,0.5384247891884227,0.9999006418536256,0.99226,7.9486517099537e-05,0.999303378375693,0.99963301081344,0.005762772489716432,0.87417,0.9999801283707251,0.8396963328895336,-0.9941378693639091,0.9999006418536256
recon,reconnaissance,external_aux_validation,0.712326048013569,0.7324022173925954,0.6844216843890665,0.99226,0.30690195055124275,0.9966788665274969,0.9978829846715687,0.023762150172874943,0.87417,0.9988420640615826,0.2843528185139279,-0.6606595342161915,0.6919401135103398
recon,reconnaissance,benign_diagnostic,0.48049519629152326,0.6635503891240856,0.8954201850391429,0.99226,0.056261901556098406,0.7262096393467848,0.8302238258905581,0.7764911808267133,0.87417,0.3136817403681548,0.24571444305526158,-0.11892900421242958,0.25741983881205643
recon,reconnaissance,pooled_attack_out,0.19321764452908555,0.23084946066903675,0.9982927571971266,0.99226,0.0013328474513660438,0.9958131115748068,0.9901153703924385,0.012969054976213415,0.87417,0.9916035602501959,0.8025954670457213,-0.9853237022209133,0.9902707127988298
recon,reconnaissance,unseen::dos,0.20200660465,0.37097998916711783,0.99813,0.99226,0.00137,0.9923411785,0.9908397047525421,0.01997,0.87417,0.98321,0.79033457385,-0.9781599999999999,0.98184
theft,theft,non_owned_known_attack,0.4656807430340557,0.0023501567235763333,0.585105,0.9442724458204335,0.417355,0.9001018111455108,0.566875851898869,0.521715,0.9380804953560371,0.47881,0.4344210681114551,-0.06338999999999995,0.06145500000000004
theft,theft,unseen,0.009686563467492247,0.0025398410729029386,0.99555,0.9442724458204335,0.00448,0.8149864396284829,0.8095493560884668,0.97917,0.9380804953560371,0.02095,0.8052998761609907,-0.01638000000000006,0.01647
theft,theft,target_non_owned_validation,0.4764811764705883,0.004778082167828596,0.53473,0.9442724458204335,0.46596,0.8956452631578947,0.24238196331265502,0.52107,0.9380804953560371,0.47952,0.4191640866873064,-0.013660000000000005,0.013560000000000016
theft,theft,external_aux_validation,0.5102977178539587,0.007353226994544465,0.7368436367868938,0.9442724458204335,0.3075177139864108,0.9487272204425266,0.6541487768877144,0.26522238873288617,0.9380804953560371,0.7588569932053949,0.43842950258856783,-0.4716212480540076,0.4513392792189841
theft,theft,benign_diagnostic,0.6653693770776827,0.01421814295016102,0.4924503260305065,0.9442724458204335,0.5086845294196849,0.9621354171908361,0.7540411177156466,0.19796495412491105,0.9380804953560371,0.8373117390217162,0.29676604011315333,-0.2944853719055954,0.3286272096020313
theft,theft,pooled_attack_out,0.31368268317853454,0.0012212994246578576,0.72192,0.9442724458204335,0.27973,0.8717300206398348,0.5663919465350624,0.6742,0.9380804953560371,0.32619,0.5580473374613003,-0.047719999999999985,0.04646
theft,theft,unseen::dos,0.009686563467492247,0.0025398410729029386,0.99555,0.9442724458204335,0.00448,0.8149864396284829,0.8095493560884668,0.97917,0.9380804953560371,0.02095,0.8052998761609907,-0.01638000000000006,0.01647
