true_class,benign,ddos,reconnaissance,theft,unseen
benign,5051,0,2933,716,1699
ddos,0,78204,3,20130,1663
reconnaissance,252,0,87417,2996,9335
theft,1,0,0,303,19
unseen,0,69856,1679,26382,2083
