expert,true_class,true_role,predicted_class,count,true_class_test_support,share_of_test_support
flood,ddos,target known,ddos,78204,100000,0.78204
flood,unseen::dos,target unseen,ddos,69856,100000,0.69856
recon,ddos,target known,reconnaissance,3,100000,3e-05
recon,reconnaissance,target known,reconnaissance,87417,100000,0.87417
recon,unseen::dos,target unseen,reconnaissance,1679,100000,0.01679
recon,benign_diagnostic,benign diagnostic,reconnaissance,35681,51989,0.6863182596318452
theft,ddos,target known,theft,98336,100000,0.98336
theft,reconnaissance,target known,theft,5902,100000,0.05902
theft,theft,target known,theft,303,323,0.9380804953560371
theft,unseen::dos,target unseen,theft,97905,100000,0.97905
theft,benign_diagnostic,benign diagnostic,theft,8458,51989,0.16268826097828387
