class,owner_expert,is_tail,singleton_expert,support,xgb_precision,xgb_recall,xgb_f1,expert_precision,expert_recall,expert_f1,f1_delta,owner_expert_in_rate (↑),other_experts_out_rate (↑),in_rate__flood (owner↑/non-owner↓),in_rate__recon (owner↑/non-owner↓),in_rate__theft (owner↑/non-owner↓),in_rate__benign (owner↑/non-owner↓)
ddos,flood,False,True,100000,1.0,0.98651,0.9932091960272035,1.0,0.78204,0.8776907364593388,-0.11551845956786466,0.78204,0.6722033333333334,0.78204,3e-05,0.98336,0.0
reconnaissance,recon,False,True,100000,0.9843100970529756,1.0,0.9920930186414278,0.9999656829100892,0.87417,0.9328460142994345,-0.05924700434199337,0.87417,0.9149233333333333,0.0,0.87417,0.05902,0.19621
benign,benign,False,True,10399,,,,0.2803227581147992,0.7349745167804597,0.4058517417162276,,0.7349745167804597,0.8123537519633297,0.0,0.28204635061063565,0.28089239349937495,0.7349745167804597
theft,theft,True,True,323,1.0,0.24148606811145512,0.38902743142144636,0.0028983843659425488,0.9380804953560371,0.00577891364052487,-0.3832485177809215,0.9380804953560371,0.9989680082559339,0.0,0.0,0.9380804953560371,0.0030959752321981426
macro_avg,,,,200323,0.9947700323509919,0.7426653560371518,0.7914432153633593,0.6676213557586773,0.8647634984520124,0.605438554799766,-0.1860046605635932,,,,,,
tail_macro_avg,,,,323,1.0,0.24148606811145512,0.38902743142144636,0.0028983843659425488,0.9380804953560371,0.00577891364052487,-0.3832485177809215,,,,,,
weighted_avg,,,,200323,0.9921676976947108,0.9920428507959645,0.9916778269455442,0.9983751464842238,0.8282823240466647,0.9038180421867845,-0.08785978475875982,,,,,,
