true_class,owner_expert,intruding_expert,false_accept_count,true_class_test_support,owner_also_in_rate,owner_lower_energy_rate,resolvable_by_argmin_rate,mean_owner_energy,owner_threshold,mean_intruder_energy,intruder_threshold
ddos,flood,theft,98336,100000,0.7952733485193622,1.0,0.7952733485193622,-6.440301418304443,-6.458439350128174,-1.231938362121582,-1.142248511314392
reconnaissance,recon,theft,5902,100000,0.4913588614029143,1.0,0.4913588614029143,-4.233216762542725,-4.216650009155273,-1.2249517440795898,-1.142248511314392
ddos,flood,recon,3,100000,0.0,0.0,0.0,-3.0210344791412354,-6.458439350128174,-4.2796854972839355,-4.216650009155273
