class,rows,proposed,accepted
benign,3502926,21878,2014
bot,41542,40770,40614
brute_force,115040,17016,17016
ddos,264872,170871,170766
dos,60594,4002,4002
infiltration,37631,8854,8439
web_attacks,509,220,205
