draw,seed,cal_benign_recall,cal_macro_f1,cal_benign_misrouted,selected
0,43,0.9902,0.77081,490,False
1,44,0.99138,0.758397,431,False
2,45,0.99104,0.767832,448,False
3,46,0.99216,0.757506,392,True
4,47,0.99176,0.75381,412,False
