expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,202121,normgain,0.8544,9165,20259,0.7627,0.093
2,202121,normgain,0.9634,196,7193,0.6202,0.8145
3,202121,normgain,0.926,68,14894,0.6136,0.5266
4,202121,normgain,0.9687,91,6230,0.782,0.4959
