expert,regime_rows,anchor_rows,block_rows,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),0,12761,0,2000,2000,2000,2000,2000,2000,761
1,1952139,12761,186000,99607,0,40976,29927,12823,2667,0
2,16292,12761,16292,0,0,0,0,0,16040,252
3,10918,12761,10918,0,0,0,0,10918,0,0
4,20651,12761,20651,0,20651,0,0,0,0,0
