a,b,agreement
global,e1,0.9955
global,e2,0.63
global,e3,0.6667
global,e4,0.864
e1,e2,0.6283
e1,e3,0.665
e1,e4,0.8626
e2,e3,0.7706
e2,e4,0.7642
e3,e4,0.7975
