K,beta,tune_expert_balanced_nll
2,0.0,1.831271
2,0.5,3.530294
2,1.0,6.874849
4,0.0,0.997493
4,0.5,2.500075
4,1.0,5.729315
8,0.0,0.929113
8,0.5,2.424699
8,1.0,5.770323
