class,prior_train_context,prior_eval_true,xgboost_p_test_avg,xgboost_distpfn_factor,xgboost_distpfn_t_prior,xgboost_distpfn_t_factor,tabpfn_v3_p_test_avg,tabpfn_v3_distpfn_factor,tabpfn_v3_distpfn_t_prior,tabpfn_v3_distpfn_t_factor
benign,0.8707,0.22713025465844153,0.2886585103325666,0.33152464341026777,0.15099099338281674,0.17341333599251563,0.2948935276937599,0.3386855682863262,0.15141961502457793,0.17390560845931072
bot,0.010322222222222222,0.09435445039020977,0.09380755761741073,9.087913892835804,0.14007929008674108,13.57063928334913,0.09419434580870546,9.125385263656355,0.1400738729451095,13.570114480039638
brute_force,0.028594444444444443,0.22713025465844153,0.23195036314211037,8.111725425388402,0.14773044744756575,5.166402028567745,0.23469635849565795,8.207757869682197,0.14792335845340826,5.173148476772145
ddos,0.06583888888888889,0.22713025465844153,0.22367873568190125,3.3973644677652675,0.14726077464736784,2.236683436882628,0.21940144759339233,3.3323984953584787,0.14704796482565796,2.233451155886115
dos,0.015061111111111112,0.13762730650773605,0.1312846703095888,8.71679268369574,0.14211493691949553,9.43588036183126,0.12858607404695063,8.53761636323927,0.1419558762558635,9.425319350970343
infiltration,0.009355555555555556,0.08547138613051813,0.03021469865434499,3.2295961665730393,0.13669160682011158,14.61072620446135,0.027590784983379933,2.9491306345446824,0.1364998113335595,14.590225521160791
web_attacks,0.0001277777777777778,0.0011560929962114673,0.00040546499187051207,3.172955965911023,0.1351319506959015,1057.471638100595,0.0006374465630813131,4.9883218424052185,0.1350795011618233,1057.0611956076564
