class,winner,rows
benign,benign,3380513
ddos,flood,262642
benign,tail,122020
brute_force,bf_bot,115040
bot,bf_bot,41417
dos,flood,36279
infiltration,benign,24904
dos,bf_bot,21110
infiltration,tail,12691
dos,tail,3150
ddos,benign,2034
web_attacks,tail,481
benign,flood,227
ddos,tail,196
benign,bf_bot,166
bot,benign,125
dos,benign,55
infiltration,bf_bot,28
web_attacks,benign,27
infiltration,flood,8
web_attacks,flood,1
