K,beta,tune_expert_balanced_nll
2,0.0,1.845779
2,0.5,3.752584
2,1.0,7.200797
4,0.0,1.261916
4,0.5,2.859022
4,1.0,6.238649
8,0.0,0.831503
8,0.5,2.322982
8,1.0,5.734567
