expert,anchor_rows,block_rows,fit_s,benign,bot,brute_force,ddos,dos,infiltration,web_attacks
anchor(shared),700,0,0.0,100,100,100,100,100,100,100
1,700,1500,0.4,21,0,761,0,387,301,30
2,700,1500,0.4,7,0,761,0,611,92,29
3,700,1500,0.3,0,0,0,0,1500,0,0
4,700,1500,0.4,910,0,0,0,0,566,24
