beta,T,tune_balanced_nll
0.0,0.8,0.573411
0.0,1.0,0.553706
0.0,1.25,0.55255
0.5,0.8,0.57427
0.5,1.0,0.554475
0.5,1.25,0.553238
1.0,0.8,0.575131
1.0,1.0,0.555246
1.0,1.25,0.553927
