expert_idx,expert_name,selected_rate,avg_weight,val_acc,assigned_classes
0,Anchor_Global,0.1886300844917208,0.1744164079427719,0.991065832386092,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14"
1,Balanced_Global,0.7603791311012356,0.760353147983551,0.9515434158439269,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14"
2,Tail_Expert,0.00044440049199275607,0.01038565207272768,0.9426559422264972,"0, 1, 2, 3, 5, 11, 12, 13, 14"
3,Spec_Group1_volume,0.0002583580050806287,0.006932221818715334,0.7660418213970792,"0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14"
4,Spec_Group2_timing,0.004219023307847779,0.0098215751349926,0.8775945211671204,"0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14"
5,Spec_Group3_packet,0.0003773386653151288,0.004891927819699049,0.7162030379336196,"0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13"
6,Spec_Group4_tcp,0.04548986037542261,0.02667785994708538,0.07942414692636587,"0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14"
7,Rand_1_volume,0.0001260885957809767,0.002080107107758522,0.7954604255753862,"0, 1, 7, 9, 10, 12"
8,Rand_2_packet,7.478784357597147e-05,0.0036805619020015,0.757446080605834,"0, 1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 14"
9,Rand_3_volume,9.271220278012993e-07,0.000760473485570401,0.7100820355565601,"0, 1, 2, 6, 10, 12, 13, 14"
