model,model_index,class,class_index,target_cal_fpr,threshold,cal_fpr_weighted,cal_recall,cal_positive_rows,cal_negative_rows,test_TP,test_FP,test_recall,test_fpr,test_precision
global,0,benign,0,0.001,0.9295300228916915,0.0009846388358755757,0.5688581314878892,27455,59944,1625744,350,0.6129787199546942,0.00089681502549517,0.9997847602906105
global,0,benign,0,0.01,0.8211698500274042,0.009995640025380018,0.8364960845019123,27455,59944,2319416,2734,0.8745243105448565,0.007005406513439414,0.9988226428094653
global,0,bot,1,0.001,0.029546410336299463,0.0009979023305122451,1.0,563,86836,41422,5325,0.9971113571806846,0.0017744493292248305,0.8860889468842921
global,0,bot,1,0.01,0.022365807208849224,0.009997143446392822,1.0,563,86836,41422,42726,0.9971113571806846,0.014237581603842274,0.4922517469220897
global,0,brute_force,2,0.001,0.002640842327542417,0.000997355646464759,1.0,15811,71588,37696,5356,1.0,0.0017824950071170006,0.8755923069776085
global,0,brute_force,2,0.01,0.0023529898640040946,0.009999145773604242,1.0,15811,71588,37696,27468,1.0,0.00914144377436329,0.578478914738199
global,0,ddos,3,0.001,0.005916401870323271,0.0009984233215736338,1.0,25740,61659,262680,2432,1.0,0.0008748852882211013,0.9908265186034582
global,0,ddos,3,0.01,0.003695096876116004,0.009998833682003574,1.0,25740,61659,262680,55522,1.0,0.019973429676238483,0.8255133531530285
global,0,dos,4,0.001,0.021852670215575163,0.0009997668410514449,0.9999309153713298,14475,72924,39002,12476,0.9878175417268191,0.004154525989097533,0.7576440421150783
global,0,dos,4,0.01,0.017504220221686052,0.009999725959172954,0.9999309153713298,14475,72924,39051,50527,0.9890585821746067,0.01682556385469149,0.43594409341579404
global,0,infiltration,5,0.001,0.9201145301310231,0.0009793098059789546,0.0006097560975609756,3280,84119,986,106,0.11278883550674902,3.494047428727201e-05,0.9029304029304029
global,0,infiltration,5,0.01,0.41368163425814597,0.009982641893204832,0.19176829268292683,3280,84119,2929,13327,0.3350491878288721,0.004392940573834661,0.18017962598425197
global,0,web_attacks,6,0.001,0.49921452422101015,0.0009886798509391036,0.2,75,87324,93,342,0.7322834645669292,0.00011241324951205419,0.21379310344827587
global,0,web_attacks,6,0.01,0.04342231617765351,0.009986390281387062,0.22666666666666666,75,87324,126,24596,0.9921259842519685,0.008084550540931242,0.005096675026292371
expert1,1,benign,0,0.001,0.7836374712174754,0.0009846388358755757,0.5691495173920962,27455,59944,1694753,330,0.6389982214785218,0.0008455684526097317,0.9998053192675521
expert1,1,benign,0,0.01,0.44227175236714106,0.009998932250055307,0.8389728646876707,27455,59944,2306915,3171,0.86981087043488,0.00812514413098624,0.998627323831234
expert1,1,bot,1,0.001,0.04099285006870524,0.000990141613602993,1.0,563,86836,41422,1606,0.9971113571806846,0.0005351672530957892,0.9626754671376778
expert1,1,bot,1,0.01,0.003438979815294218,0.00997762771302014,1.0,563,86836,41438,73113,0.9974965095565933,0.02436343921269766,0.3617428045150195
expert1,1,brute_force,2,0.001,0.0053924669144661975,0.0009955921652265165,1.0,15811,71588,37696,28981,1.0,0.009644975317635885,0.5653523703825907
expert1,1,brute_force,2,0.01,0.0028086311286138776,0.00999908540730699,1.0,15811,71588,37696,87740,1.0,0.029200170262219126,0.3005197869830033
expert1,1,ddos,3,0.001,0.019351123811753707,0.0009708251339706177,1.0,25740,61659,262680,5983,1.0,0.00215231853594854,0.977730465304117
expert1,1,ddos,3,0.01,0.002394674682776718,0.00998751498653542,1.0,25740,61659,262680,51310,1.0,0.01845820893857924,0.8365871524570846
expert1,1,dos,4,0.001,0.06835791250343741,0.0009894266899222832,1.0,14475,72924,39375,3957,0.9972646455436517,0.0013176867055834352,0.9086818055940182
expert1,1,dos,4,0.01,0.010253445204622083,0.009999423865349358,1.0,14475,72924,39483,76023,1.0,0.025315768617278113,0.34182639862864267
