class,rows,weight,mean_residual,clipped_rows
backdoor,30129,3.8742088318757366,0.2942845372205905,24
benign,504273,0.23147739694957353,0.042249340335665096,0
ddos,153412,0.7608753183812949,0.1201100790251824,0
dos,17071,6.837593357349969,0.7491326722522773,481
injection,50361,2.31779028727159,0.6812869720186724,451
mitm,821,142.13452054794521,14.592089011223115,66
password,159360,0.7324786137069941,0.12781995713339242,0
ransomware,537,217.0673640167364,101.77145296728574,462
scanning,4470,26.112180526816175,40.555980005132945,4353
xss,246841,0.4728873039730029,0.12117966036439269,0
