a,b,gain_pearson_r
e1,e2,0.9508
e1,e3,0.9718
e1,e4,0.9796
e1,e5,0.9726
e1,e6,0.9715
e1,e7,0.977
e2,e3,0.9684
e2,e4,0.9663
e2,e5,0.9359
e2,e6,0.9684
e2,e7,0.9682
e3,e4,0.9831
e3,e5,0.9678
e3,e6,0.9871
e3,e7,0.9842
e4,e5,0.964
e4,e6,0.9832
e4,e7,0.9776
e5,e6,0.9637
e5,e7,0.954
e6,e7,0.9831
