a,b,agreement
global,e1,0.9735
global,e2,0.97
global,e3,0.9721
global,e4,0.9718
global,e5,0.9549
global,e6,0.9525
global,e7,0.9712
e1,e2,0.9867
e1,e3,0.989
e1,e4,0.9848
e1,e5,0.9706
e1,e6,0.9601
e1,e7,0.9881
e2,e3,0.991
e2,e4,0.9841
e2,e5,0.97
e2,e6,0.9612
e2,e7,0.9899
e3,e4,0.9875
e3,e5,0.9744
e3,e6,0.9631
e3,e7,0.9943
e4,e5,0.9665
e4,e6,0.9641
e4,e7,0.985
e5,e6,0.9518
e5,e7,0.9727
e6,e7,0.9623
