class,fp_global,fp_final,fp_delta,tp_global,tp_final
backdoor,68,67,-1,40002,40010
benign,42655,8979,-33676,1268083,1260920
ddos,2111,2069,-42,99832,101027
dos,345,12957,12612,22082,22122
injection,7370,7496,126,66208,66255
mitm,35805,30435,-5370,1061,1065
password,51118,51173,55,210363,210366
ransomware,7921,8100,179,648,648
scanning,44,239,195,485,2673
xss,107975,108465,490,307547,336657
