expert,tune_rows,target_unit,sign_accuracy,false_accept,false_reject,quantile_coverage,pearson_r
1,260350,normgain,0.9792,837,4577,0.8067,0.8321
2,260350,normgain,0.9741,1204,5534,0.7707,0.8307
3,260350,normgain,0.9833,675,3669,0.7567,0.8374
4,260350,normgain,0.9748,657,5895,0.7124,0.8744
5,260350,normgain,0.9787,1080,4468,0.7115,0.8202
6,260350,normgain,0.9792,1320,4085,0.7687,0.7999
7,260350,normgain,0.9721,1151,6109,0.6281,0.8685
