class,rows,proposed,accepted
backdoor,40030,39340,39320
benign,1474302,109455,68790
ddos,103338,93381,90564
dos,22458,2940,2385
injection,68891,18514,17639
mitm,1161,89,27
password,210951,86456,84787
ransomware,709,470,460
scanning,6029,2435,2400
xss,343854,31359,31028
