class,rows,g_ok_f_ok,g_wrong_f_ok_helpful,g_ok_f_wrong_harmful,g_wrong_f_wrong,g_wrong_f_wrong_changed
backdoor,40030,40002,8,0,20,4
benign,1474302,1260277,643,7806,205576,11851
ddos,103338,99831,1196,1,2310,119
dos,22458,22082,40,0,336,180
injection,68891,66208,47,0,2636,147
mitm,1161,1061,4,0,96,0
password,210951,210363,3,0,585,14
ransomware,709,648,0,0,61,8
scanning,6029,485,2188,0,3356,2
xss,343854,307547,29110,0,7197,676
