expert,proposed,accepted,accept_rate
1,35687,32192,0.9021
2,28706,13903,0.4843
3,278305,263937,0.9484
4,15878,7804,0.4915
5,4648,3114,0.67
6,4881,3412,0.699
7,16334,13038,0.7982
total,384439,337400,0.14852162873730645
