expert,frac_positive,frac_unique_positive,mean_gain_positive
1,0.6826,0.0413,0.5918
2,0.6273,0.0014,0.7106
3,0.8376,0.0225,0.5195
4,0.286,0.0,1.25
5,0.2594,0.0005,1.3743
6,0.59,0.0008,0.6973
7,0.5611,0.0011,0.7141
